id,max_,min_,mean_,median_,std_,wealth
1.0,62.0,6.0,35.44,35.0,17.435205763053098,1.12459
2.0,62.0,7.0,36.34,35.0,16.613380149746767,1.0685600000000002
3.0,62.0,6.0,33.88,34.5,18.813973530331115,0.50708
4.0,62.0,6.0,32.06,29.0,19.546263069957902,0.69852
5.0,62.0,7.0,36.34,35.0,16.613380149746767,0.7370800000000001
6.0,62.0,7.0,35.92,35.0,16.952097215389017,0.7399899999999999
7.0,62.0,7.0,36.34,35.0,16.613380149746767,0.8962899999999999
8.0,62.0,7.0,34.99,32.5,17.068388910497674,0.6580349999999999
9.0,62.0,6.0,34.11,32.5,17.960453780458888,0.65678
10.0,62.0,6.0,34.11,32.5,17.960453780458888,0.744405
11.0,62.0,7.0,34.99,32.5,17.068388910497674,1.0319
12.0,62.0,8.0,34.46,32.5,17.593987609407936,0.86513
13.0,62.0,6.0,35.44,35.0,17.435205763053098,0.37755500000000003
14.0,62.0,7.0,33.85,31.5,18.346321157114854,0.7764150000000001
15.0,62.0,6.0,31.19,28.0,19.932734383420655,0.58982
16.0,62.0,8.0,36.49,35.0,16.48362520806634,-0.166625
17.0,62.0,5.0,30.47,26.5,19.44451336495722,0.09888999999999999
18.0,62.0,7.0,33.31,31.5,18.824821380294686,0.801805
19.0,62.0,5.0,30.54,28.0,19.425457523569424,-0.69405
20.0,62.0,6.0,30.4,27.0,19.378338422062917,-0.0567
21.0,62.0,7.0,36.34,35.0,16.613380149746767,0.95
22.0,62.0,6.0,31.25,26.5,18.787429307917566,-0.635475
23.0,62.0,8.0,37.08,35.0,15.75035237701049,0.89812
24.0,62.0,5.0,30.47,26.5,19.44451336495722,-0.9788399999999999
25.0,62.0,5.0,30.01,26.5,19.74107139949603,0.8225100000000001
26.0,62.0,6.0,33.88,33.0,18.425135006289644,-0.81182
27.0,61.0,6.0,31.32,29.0,17.202836975336364,0.328445
28.0,61.0,7.0,31.46,29.0,17.029632996632664,-0.24477
29.0,61.0,0.0,26.74,22.0,18.948150305504754,0.072935
