cluster,wlthindf,latitude,longitude
881,0.6608449999999999,8.57792018049,-75.9632364827
882,-0.46868,8.5759924057,-75.962098653
883,0.266055,8.59079626632,-75.9540256451
884,0.47318000000000005,8.58797307293,-75.9429695232
885,0.13648,8.58479366998,-75.9570035807
886,1.13844,8.5942091529,-75.9543647287
887,0.76649,8.58971395886,-75.9513024165
888,0.874555,8.56888600579,-75.9657604536
889,1.24275,8.5960530982,-75.9544062114
890,0.986625,8.57665597889,-75.9647840746
891,0.185865,8.58757388614,-75.9518633253
892,0.31375,8.58783871465,-75.9546010718
893,0.809525,8.57877621621,-75.9581039749
894,0.9715050000000001,8.57546554603,-75.9655896002
895,-0.43502,8.58254632962,-75.9609073256
896,-0.052289999999999996,8.58285912998,-75.9611158053
897,0.05199,8.58421884486,-75.960574461
898,-0.13084,8.58408314249,-75.9604823535
899,-0.15052,8.5700536109,-75.9661369796
900,-1.08544,8.59844173439,-75.957561057
901,-0.19188,8.58327810499,-75.9644267446
902,1.06592,8.5894496155,-75.9484410435
903,-0.1671,8.57395255781,-75.9600378266
904,-1.26917,8.59092236027,-75.9434787098
913,-0.46555,8.88059185049,-75.8245364198
914,-0.07183,8.88678145123,-75.8208947766
915,0.69226,8.87980909331,-75.8233122142
916,-1.22957,8.87660352087,-75.8379165115
917,0.0481,7.79824258467,-76.1828339276
918,-1.11324,7.80484098143,-76.1944551825
919,0.10156,7.8149235844,-76.1698892608
920,-0.693765,7.7975189707,-76.1833842991
921,0.15882,7.68350760779,-75.7668470129
922,-1.50597,7.68218653063,-75.7795300778
923,-0.60924,7.67457150415,-75.7906846729
924,0.31458,7.68218932394,-75.7827879839
925,-1.00739,7.67937783739,-75.788387296
926,0.57064,8.17405058333,-75.4456054507
927,0.21188,8.18002648362,-75.441511635
928,-1.00327,8.18508195813,-75.441337963
929,-0.37395999999999996,8.17491400301,-75.4487373274
930,-0.23771,8.68274318294,-75.7002254666
931,-0.23522,8.7002445865,-75.6892406073
932,0.010415,8.69602008744,-75.6930409221
933,-0.39982,8.70124660326,-75.6805360652
934,0.39436499999999997,9.00237019597,-75.3655260467
935,0.38634,9.01042328682,-75.3595399502
936,0.743595,8.99776334058,-75.3747350328
937,-0.327,9.01459957498,-75.3458917789
938,0.26589,9.13415419691,-75.5298441286
939,0.59687,9.13392216905,-75.5247661295
940,-1.081715,9.15359134699,-75.511950623
941,-1.1256750000000002,9.326222491,-75.9652487106
942,-0.088265,9.33424080556,-75.9495499224
945,-1.36557,8.58803561708,-75.946880418
946,-0.025785,8.59033636592,-75.9544345108
947,-1.921185,8.58263893827,-75.9716096122
948,-0.79166,8.58369146044,-75.958677407
949,-2.044705,8.56098274182,-75.9814056063
950,-2.5763249999999998,8.55119391628,-75.960740809
951,-2.045165,8.5662598144,-75.9921498585
960,0.044125,8.8733646841,-75.8600261205
961,-1.36424,8.90044488605,-75.8127535382
962,-0.9520799999999999,8.88719445793,-75.7849839689
963,-1.02265,7.78393072717,-76.2033653245
964,-1.81257,7.79340500952,-76.1773483879
965,-2.1441749999999997,7.79953821826,-76.1845917131
966,-1.8433,7.78826950496,-76.1812021931
967,-1.48162,7.80395384375,-76.1820857264
968,-1.70539,7.65133109999,-75.7968119958
969,-1.785,7.68717587345,-75.7784139592
970,-1.2164,7.68314087465,-75.7798013524
971,-2.030885,7.64951141095,-75.8114506214
972,-1.05876,8.15115610137,-75.4558862205
973,-0.984485,8.17821211025,-75.4389546288
974,-2.03443,8.19532587912,-75.4099530841
975,-1.083785,8.1659387905,-75.4601648379
976,-2.11743,8.16012288991,-75.4527535498
977,-0.99662,8.66763435341,-75.7012692103
978,-1.18652,8.70009882971,-75.6792076241
979,-1.40172,8.70609213174,-75.650941354
980,-0.28392,8.97405795813,-75.3724889649
981,-1.61365,9.01911485644,-75.3563311929
982,-1.49911,9.03501604023,-75.3468103276
983,-1.4673500000000002,9.00461328036,-75.3904452093
984,-1.76933,9.14217506065,-75.5102879529
985,-2.0252,9.11992902213,-75.5277227074
986,-2.200745,9.12544068793,-75.516489794
987,-1.97684,9.1357862615,-75.5377880463
988,-1.88968,9.14031152446,-75.5140303989
989,-1.67647,9.12631736466,-75.5459774577
990,-1.67802,9.33415506137,-75.9347626898
991,-1.257705,9.35627198621,-75.9372666454
992,-2.24436,9.33694286006,-75.9425535053
993,-2.23102,9.33038411717,-75.944390238
994,-1.90511,9.32381447834,-75.9888977772
995,-2.45871,9.33140172899,-75.9509740744
